          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
      -2625.00        500.00          0.00         43.31         35.99         44.21         45.39
      -2625.00        625.00          0.00         43.49         35.85         43.97         45.23
      -2625.00        750.00          0.00         43.64         35.68         43.72         45.03
      -2625.00        875.00          0.00         43.72         35.48         43.47         44.81
      -2625.00       1000.00          0.00         43.77         35.25         43.23         44.56
      -2625.00       1125.00          0.00         43.77         35.01         42.99         44.29
      -2625.00       1250.00          0.00         43.68         34.74         42.74         44.00
      -2625.00       1375.00          0.00         43.51         34.46         42.48         43.68
      -2625.00       1500.00          0.00         43.33         34.16         42.22         43.35
      -2625.00       1625.00          0.00         43.15         33.84         41.96         42.95
      -2625.00       1750.00          0.00         42.96         33.49         41.69         42.51
      -2625.00       1875.00          0.00         42.77         33.14         41.41         42.05
      -2625.00       2000.00          0.00         42.53         32.77         40.86         41.59
      -2625.00       2125.00          0.00         42.28         32.40         40.27         41.11
      -2625.00       2250.00          0.00         42.04         32.03         39.72         40.63
      -2625.00       2375.00          0.00         41.79         31.65         39.18         40.14
      -2625.00       2500.00          0.00         41.55         31.28         38.67         39.66
      -2625.00       2625.00          0.00         41.31         30.90         38.18         39.17
      -2625.00       2750.00          0.00         41.07         30.52         37.70         38.68
      -2625.00       2875.00          0.00         40.83         30.14         37.25         38.19
      -2625.00       3000.00          0.00         40.59         29.76         36.80         37.71
      -2500.00      -3000.00          0.00         40.86         30.09         37.15         38.13
      -2500.00      -2875.00          0.00         41.11         30.48         37.60         38.64
      -2500.00      -2750.00          0.00         41.36         30.88         38.06         39.15
      -2500.00      -2625.00          0.00         41.61         31.28         38.54         39.66
      -2500.00      -2500.00          0.00         41.86         31.67         39.04         40.17
      -2500.00      -2375.00          0.00         42.12         32.07         39.56         40.68
      -2500.00      -2250.00          0.00         42.37         32.47         40.10         41.19
      -2500.00      -2125.00          0.00         42.63         32.87         40.66         41.70
      -2500.00      -2000.00          0.00         42.89         33.26         41.26         42.21
      -2500.00      -1875.00          0.00         43.14         33.64         41.81         42.70
      -2500.00      -1750.00          0.00         43.35         34.02         42.10         43.19
      -2500.00      -1625.00          0.00         43.55         34.37         42.39         43.58
      -2500.00      -1500.00          0.00         43.75         34.70         42.67         43.95
      -2500.00      -1375.00          0.00         43.94         35.02         42.94         44.31
      -2500.00      -1250.00          0.00         44.12         35.33         43.22         44.65
      -2500.00      -1125.00          0.00         44.23         35.61         43.48         44.97
      -2500.00      -1000.00          0.00         44.24         35.88         43.73         45.26
      -2500.00       -875.00          0.00         44.21         36.12         43.99         45.53
      -2500.00       -750.00          0.00         44.14         36.34         44.25         45.78
      -2500.00       -625.00          0.00         44.01         36.53         44.52         45.99
      -2500.00       -500.00          0.00         43.84         36.69         44.77         46.16
      -2500.00       -375.00          0.00         43.71         36.82         44.94         46.30
      -2500.00       -250.00          0.00         43.53         36.91         45.11         46.41
      -2500.00       -125.00          0.00         43.31         36.96         45.24         46.47
      -2500.00          0.00          0.00         43.19         36.98         45.22         46.49
      -2500.00        125.00          0.00         43.31         36.96         45.24         46.47
      -2500.00        250.00          0.00         43.53         36.91         45.11         46.41
      -2500.00        375.00          0.00         43.71         36.82         44.94         46.30
      -2500.00        500.00          0.00         43.85         36.69         44.76         46.16
      -2500.00        625.00          0.00         44.01         36.53         44.51         45.99
      -2500.00        750.00          0.00         44.14         36.34         44.25         45.78
      -2500.00        875.00          0.00         44.21         36.12         43.99         45.53
      -2500.00       1000.00          0.00         44.24         35.88         43.73         45.26
      -2500.00       1125.00          0.00         44.23         35.61         43.48         44.97
      -2500.00       1250.00          0.00         44.12         35.33         43.21         44.65
      -2500.00       1375.00          0.00         43.94         35.02         42.94         44.31
      -2500.00       1500.00          0.00         43.75         34.70         42.66         43.95
      -2500.00       1625.00          0.00         43.55         34.37         42.39         43.58
      -2500.00       1750.00          0.00         43.35         34.02         42.10         43.19
      -2500.00       1875.00          0.00         43.14         33.64         41.81         42.70
      -2500.00       2000.00          0.00         42.89         33.26         41.25         42.21
      -2500.00       2125.00          0.00         42.63         32.87         40.66         41.70
      -2500.00       2250.00          0.00         42.38         32.47         40.09         41.19
      -2500.00       2375.00          0.00         42.12         32.07         39.55         40.68
      -2500.00       2500.00          0.00         41.87         31.67         39.03         40.17
      -2500.00       2625.00          0.00         41.61         31.28         38.53         39.66
      -2500.00       2750.00          0.00         41.36         30.88         38.05         39.15
      -2500.00       2875.00          0.00         41.12         30.48         37.59         38.64
      -2500.00       3000.00          0.00         40.87         30.09         37.14         38.13
      -2375.00      -3000.00          0.00         41.14         30.41         37.49         38.55
      -2375.00      -2875.00          0.00         41.40         30.82         37.94         39.08
      -2375.00      -2750.00          0.00         41.66         31.24         38.41         39.61
      -2375.00      -2625.00          0.00         41.92         31.65         38.90         40.14
      -2375.00      -2500.00          0.00         42.18         32.07         39.41         40.68
      -2375.00      -2375.00          0.00         42.45         32.49         39.93         41.22
      -2375.00      -2250.00          0.00         42.71         32.91         40.48         41.76
      -2375.00      -2125.00          0.00         42.98         33.33         41.06         42.30
      -2375.00      -2000.00          0.00         43.26         33.75         41.66         42.84
      -2375.00      -1875.00          0.00         43.52         34.15         42.22         43.34
      -2375.00      -1750.00          0.00         43.74         34.53         42.52         43.76
      -2375.00      -1625.00          0.00         43.96         34.89         42.82         44.17
      -2375.00      -1500.00          0.00         44.17         35.25         43.12         44.56
      -2375.00      -1375.00          0.00         44.38         35.60         43.41         44.95
      -2375.00      -1250.00          0.00         44.58         35.93         43.70         45.32
      -2375.00      -1125.00          0.00         44.70         36.24         43.98         45.66
      -2375.00      -1000.00          0.00         44.73         36.53         44.25         45.99
      -2375.00       -875.00          0.00         44.72         36.80         44.52         46.28
      -2375.00       -750.00          0.00         44.66         37.04         44.80         46.55
      -2375.00       -625.00          0.00         44.54         37.24         45.08         46.78
      -2375.00       -500.00          0.00         44.40         37.42         45.34         46.98
      -2375.00       -375.00          0.00         44.28         37.56         45.54         47.13
      -2375.00       -250.00          0.00         44.09         37.66         45.72         47.24
      -2375.00       -125.00          0.00         43.86         37.72         45.85         47.31
      -2375.00          0.00          0.00         43.73         37.74         45.82         47.33
      -2375.00        125.00          0.00         43.86         37.72         45.85         47.31
      -2375.00        250.00          0.00         44.09         37.66         45.72         47.24
      -2375.00        375.00          0.00         44.28         37.56         45.54         47.13
      -2375.00        500.00          0.00         44.40         37.42         45.34         46.98
      -2375.00        625.00          0.00         44.54         37.24         45.08         46.78
      -2375.00        750.00          0.00         44.66         37.04         44.80         46.55
      -2375.00        875.00          0.00         44.72         36.80         44.52         46.28
      -2375.00       1000.00          0.00         44.73         36.53         44.25         45.99
      -2375.00       1125.00          0.00         44.70         36.24         43.98         45.66
      -2375.00       1250.00          0.00         44.58         35.93         43.70         45.32
      -2375.00       1375.00          0.00         44.38         35.60         43.41         44.95
      -2375.00       1500.00          0.00         44.17         35.25         43.12         44.56
      -2375.00       1625.00          0.00         43.96         34.89         42.82         44.17
      -2375.00       1750.00          0.00         43.74         34.53         42.52         43.76
      -2375.00       1875.00          0.00         43.52         34.15         42.21         43.34
      -2375.00       2000.00          0.00         43.26         33.75         41.65         42.84
      -2375.00       2125.00          0.00         42.99         33.33         41.05         42.30
      -2375.00       2250.00          0.00         42.72         32.91         40.48         41.76
      -2375.00       2375.00          0.00         42.45         32.49         39.93         41.22
      -2375.00       2500.00          0.00         42.19         32.07         39.40         40.68
      -2375.00       2625.00          0.00         41.92         31.65         38.89         40.14
      -2375.00       2750.00          0.00         41.66         31.24         38.41         39.61
      -2375.00       2875.00          0.00         41.41         30.82         37.94         39.08
      -2375.00       3000.00          0.00         41.15         30.41         37.48         38.55
      -2250.00      -3000.00          0.00         41.43         30.73         37.83         38.96
      -2250.00      -2875.00          0.00         41.69         31.16         38.29         39.51
      -2250.00      -2750.00          0.00         41.96         31.59         38.77         40.07
      -2250.00      -2625.00          0.00         42.23         32.03         39.26         40.63
      -2250.00      -2500.00          0.00         42.50         32.47         39.78         41.19
      -2250.00      -2375.00          0.00         42.78         32.91         40.31         41.76
      -2250.00      -2250.00          0.00         43.06         33.36         40.87         42.33
      -2250.00      -2125.00          0.00         43.34         33.80         41.45         42.90
      -2250.00      -2000.00          0.00         43.63         34.23         42.06         43.42
      -2250.00      -1875.00          0.00         43.90         34.63         42.63         43.87
      -2250.00      -1750.00          0.00         44.14         35.04         42.95         44.32
      -2250.00      -1625.00          0.00         44.37         35.43         43.27         44.76
      -2250.00      -1500.00          0.00         44.60         35.82         43.58         45.19
      -2250.00      -1375.00          0.00         44.83         36.19         43.89         45.61
      -2250.00      -1250.00          0.00         45.05         36.55         44.20         46.01
      -2250.00      -1125.00          0.00         45.19         36.89         44.50         46.39
