          x[m]          y[m]          z[m]      SEL[dBA]    LAmax[dBA]   EPNL[EPNdB]  PNLTM[TPNdB]
     104312.00     478095.00          0.00         10.10         33.29         12.97         41.10
     104312.00     478220.00          0.00          9.34         33.19         12.38         40.98
     104312.00     478345.00          0.00         10.09         33.08         13.21         40.84
     104312.00     478470.00          0.00         10.81         32.95         13.08         40.67
     104312.00     478595.00          0.00         11.13         32.80         12.73         40.49
     104312.00     478720.00          0.00         11.27         32.64         12.43         40.29
     104312.00     478845.00          0.00         11.36         32.47         12.12         40.08
     104312.00     478970.00          0.00         11.47         32.28         11.76         39.85
     104312.00     479095.00          0.00         11.52         32.08         11.41         39.60
     104312.00     479220.00          0.00         11.50         31.87         11.06         39.34
     104312.00     479345.00          0.00         11.45         31.65         10.73         39.07
     104312.00     479470.00          0.00         11.32         31.42         10.39         38.78
     104312.00     479595.00          0.00         11.07         31.18         10.05         38.49
     104312.00     479720.00          0.00         10.81         30.94          9.71         38.19
     104312.00     479845.00          0.00         10.53         30.69          9.36         37.87
     104312.00     479970.00          0.00         10.26         30.43          9.01         37.55
     104312.00     480095.00          0.00          9.97         30.17          8.66         37.22
     104312.00     480220.00          0.00          9.66         29.88          8.12         36.85
     104312.00     480345.00          0.00          9.32         29.58          7.44         36.44
     104312.00     480470.00          0.00          8.98         29.28          6.79         36.01
     104312.00     480595.00          0.00          8.63         28.97          6.16         35.58
     104312.00     480720.00          0.00          8.29         28.66          5.56         35.15
     104312.00     480845.00          0.00          7.95         28.35          4.97         34.71
     104312.00     480970.00          0.00          7.61         28.04          4.41         34.27
     104312.00     481095.00          0.00          7.28         27.72          3.87         33.83
     104312.00     481220.00          0.00          6.94         27.41          3.34         33.39
     104312.00     481345.00          0.00          6.57         27.09          2.79         32.95
     104312.00     481470.00          0.00          6.15         26.78          2.16         32.50
     104312.00     481595.00          0.00          5.74         26.46          1.56         32.06
     104312.00     481720.00          0.00          5.33         26.14          0.97         31.62
     104312.00     481845.00          0.00          4.94         25.83          0.40         31.18
     104312.00     481970.00          0.00          4.55         25.52          0.00         30.74
     104312.00     482095.00          0.00          4.17         25.21          0.00         30.30
     104312.00     482220.00          0.00          3.79         24.90          0.00         29.87
     104312.00     482345.00          0.00          3.42         24.59          0.00         29.43
     104312.00     482470.00          0.00          3.06         24.28          0.00         29.00
     104312.00     482595.00          0.00          2.71         23.98          0.00         28.57
     104312.00     482720.00          0.00          2.36         23.67          0.00         28.15
     104312.00     482845.00          0.00          2.01         23.37          0.00         27.73
     104312.00     482970.00          0.00          1.68         23.08          0.00         27.31
     104312.00     483095.00          0.00          1.35         22.78          0.00         26.89
     104312.00     483220.00          0.00          1.00         22.49          0.00         26.48
     104312.00     483345.00          0.00          0.64         22.20          0.00         26.07
     104312.00     483470.00          0.00          0.28         21.91          0.00         25.66
     104312.00     483595.00          0.00          0.00         21.62          0.00         25.26
     104312.00     483720.00          0.00          0.00         21.34          0.00         24.86
     104312.00     483845.00          0.00          0.00         21.06          0.00         24.46
     104312.00     483970.00          0.00          0.00         20.78          0.00         24.07
     104312.00     484095.00          0.00          0.00         20.51          0.00         23.68
     104312.00     484220.00          0.00          0.00         20.23          0.00         23.30
     104312.00     484345.00          0.00          0.00         19.97          0.00         22.92
     104312.00     484470.00          0.00          0.00         19.70          0.00         22.54
     104312.00     484595.00          0.00          0.00         19.43          0.00         22.17
     104312.00     484720.00          0.00          0.00         19.17          0.00         21.80
