NPD_ID   MET    OP     THR   200   400   630  1000  2000  4000  6300 10000 16000 25000  C
2JT8DH     E     A    3000  98.2  92.9  89.5  85.6  78.4  70.5  64.7  58.2  49.6  40.5  J
2JT8DH     E     A    6000 101.9  97.3  93.7  89.8  83.9  76.9  71.6  66.3  59.9  50.8  J
2JT8DH     E     D    8000 104.8 100.3  96.9  93.3  87.5  80.5  75.6  69.7  63.1  55.2  J
2JT8DH     E     D   10000 108.2 103.9 100.9  97.3  91.6  84.6  79.9  74.5  68.7  62.7  J
2JT8DH     E     D   12000 111.3 107.3 104.3 101.0  95.4  88.5  83.7  78.2  71.7  64.7  J
2JT8DH     E     D   14000 114.3 110.5 107.6 104.4  99.1  92.9  88.3  82.7  76.7  70.7  J
2JT8DH     M     A    3000  88.6  83.0  76.9  71.2  62.7  54.1  48.0  41.2  33.4  25.2  J
2JT8DH     M     A    6000  93.9  88.7  84.5  79.9  72.5  64.0  57.8  50.8  42.9  34.3  J
2JT8DH     M     D    8000 101.1  94.5  90.0  85.2  77.5  68.8  62.5  55.4  47.3  38.7  J
2JT8DH     M     D   10000 103.5  96.9  92.5  87.7  79.9  71.2  64.8  57.6  49.6  41.2  J
2JT8DH     M     D   12000 108.0 101.4  97.0  92.2  84.5  75.8  69.4  62.4  54.4  45.9  J
2JT8DH     M     D   14000 110.7 104.2  99.8  95.1  87.5  79.0  72.8  65.9  58.2  50.0  J
2JT8DH     P     A    3000 104.1  97.0  90.5  83.3  73.6  63.7  56.4  47.9  37.1  25.4  J
2JT8DH     P     A    6000 109.1 101.6  96.8  91.8  83.6  74.2  67.5  60.0  51.5  39.9  J
2JT8DH     P     D    8000 113.5 106.6 101.8  96.5  88.0  78.7  71.9  64.3  55.5  45.1  J
2JT8DH     P     D   10000 115.8 108.8 103.9  98.8  90.4  81.5  74.9  67.5  59.6  51.0  J
2JT8DH     P     D   12000 120.3 113.4 108.6 103.4  95.2  86.1  79.5  72.0  63.5  54.0  J
2JT8DH     P     D   14000 122.8 116.0 111.5 106.7  98.8  89.9  83.4  76.1  67.9  59.3  J
2JT8DH     S     A    3000  92.6  88.5  85.0  81.2  75.5  69.0  64.1  58.5  51.9  44.9  J
2JT8DH     S     A    6000  97.9  93.6  90.8  87.9  83.0  76.7  71.7  65.9  59.2  51.8  J
2JT8DH     S     D    8000  99.5  95.8  93.2  90.3  85.4  79.0  73.8  67.9  61.1  53.6  J
2JT8DH     S     D   10000 103.6  99.9  97.3  94.4  89.5  83.0  77.8  71.8  65.0  57.7  J
2JT8DH     S     D   12000 107.2 103.5 100.9  98.0  93.1  86.7  81.5  75.6  68.9  61.5  J
2JT8DH     S     D   14000 110.8 107.2 104.6 101.8  97.0  90.6  85.6  79.9  73.4  66.4  J
2JT8DL     E     A    3000  98.9  94.0  90.5  86.3  79.1  71.4  65.5  59.6  51.7  41.9  J
2JT8DL     E     A    6000 102.0  97.7  94.3  90.5  84.1  76.7  71.2  65.5  58.8  50.2  J
2JT8DL     E     D    8000 106.8 102.1  98.7  94.6  88.2  80.9  75.8  69.9  63.0  55.1  J
2JT8DL     E     D   10000 109.6 105.3 102.0  98.2  92.0  85.0  79.9  74.0  67.3  60.6  J
2JT8DL     E     D   12000 112.8 108.3 105.3 101.8  96.0  89.0  84.1  78.5  71.9  65.1  J
2JT8DL     E     D   14000 115.5 111.5 108.6 105.3  99.5  92.7  88.1  82.8  76.8  70.5  J
2JT8DL     M     A    3000  92.7  85.7  80.8  75.8  67.8  59.0  52.6  45.4  37.2  28.7  J
2JT8DL     M     A    6000  96.7  89.9  85.3  80.4  72.4  63.6  57.2  50.0  41.8  33.2  J
2JT8DL     M     D    8000 102.0  95.2  90.7  85.8  77.8  69.0  62.6  55.5  47.3  38.7  J
2JT8DL     M     D   10000 105.7  98.5  93.9  89.0  81.0  72.2  65.8  58.6  50.6  42.0  J
2JT8DL     M     D   12000 109.3 102.5  98.0  93.2  85.3  76.5  70.0  62.9  54.9  46.4  J
2JT8DL     M     D   14000 112.5 105.8 101.3  96.4  88.5  79.5  72.9  65.7  57.6  49.1  J
2JT8DL     P     A    3000 106.1  99.0  93.8  87.9  78.2  68.2  60.9  52.9  42.9  30.6  J
2JT8DL     P     A    6000 110.3 103.0  98.0  92.5  83.0  73.6  66.7  58.9  50.1  38.9  J
2JT8DL     P     D    8000 115.0 108.0 103.0  97.5  88.4  78.9  72.0  64.2  55.2  44.9  J
2JT8DL     P     D   10000 118.1 111.2 106.3 100.8  91.5  82.1  75.2  67.5  58.6  49.4  J
2JT8DL     P     D   12000 121.5 114.7 109.8 104.5  95.9  86.6  79.9  72.4  63.7  54.1  J
2JT8DL     P     D   14000 125.0 118.1 113.3 107.9  99.0  89.8  83.4  76.2  68.0  59.1  J
2JT8DL     S     A    3000  94.7  90.2  87.0  83.7  78.4  71.7  66.5  60.4  53.5  46.1  J
2JT8DL     S     A    6000  97.9  94.0  91.2  88.2  83.0  76.5  71.2  65.2  58.3  50.8  J
2JT8DL     S     D    8000 101.2  97.3  94.5  91.5  86.3  79.7  74.5  68.5  61.6  54.1  J
2JT8DL     S     D   10000 104.6 101.3  98.4  95.3  90.1  83.6  78.3  72.4  65.5  58.1  J
2JT8DL     S     D   12000 108.1 104.7 101.9  99.0  94.0  87.4  82.1  76.2  69.4  62.1  J
2JT8DL     S     D   14000 111.7 108.0 105.3 102.4  97.3  90.6  85.3  79.2  72.3  65.0  J
2JT8DN     E     A    3000  99.7  94.2  90.3  86.0  79.0  71.4  66.0  60.3  54.2  48.1  J
2JT8DN     E     A    5000 103.3  97.7  93.8  89.5  82.7  75.4  70.3  64.9  59.1  53.3  J
2JT8DN     E     D    6000 100.6  96.6  93.6  90.3  84.4  78.5  74.1  69.3  64.1  58.8  J
2JT8DN     E     D    8000 104.6 100.7  97.7  94.4  88.9  82.8  78.5  73.7  68.6  63.5  J
2JT8DN     E     D   10000 108.4 104.5 101.6  98.4  93.0  86.9  82.5  77.8  72.7  67.6  J
2JT8DN     E     D   12000 111.3 107.7 104.9 101.8  96.6  90.7  86.5  81.9  76.9  71.9  J
2JT8DN     E     D   14000 114.5 110.9 108.2 105.1  99.9  94.0  89.8  85.3  80.3  75.3  J
2JT8DN     E     D   16000 117.4 113.7 111.0 107.9 102.7  96.9  92.7  88.1  83.2  78.2  J
2JT8DN     M     A    3000  90.6  84.2  79.7  74.9  67.3  59.2  53.6  47.7  41.5  35.4  J
2JT8DN     M     A    5000  95.8  89.3  84.8  80.0  72.4  64.3  58.8  52.9  46.6  40.5  J
2JT8DN     M     D    6000  96.8  90.8  86.5  81.8  74.1  65.8  59.9  53.7  47.0  40.4  J
2JT8DN     M     D    8000 101.2  95.2  90.9  86.1  78.5  70.2  64.4  58.2  51.6  45.0  J
2JT8DN     M     D   10000 105.1  99.1  94.7  90.0  82.3  73.8  67.9  61.6  54.8  48.0  J
2JT8DN     M     D   12000 108.5 102.5  98.1  93.3  85.5  77.0  71.0  64.6  57.8  51.0  J
2JT8DN     M     D   14000 111.4 105.4 101.0  96.3  88.5  80.1  74.1  67.8  60.9  54.2  J
2JT8DN     M     D   16000 113.8 107.8 103.4  98.7  90.9  82.5  76.5  70.1  63.3  56.6  J
2JT8DN     P     A    3000 105.8  98.1  92.7  86.9  77.7  67.7  60.9  53.6  46.0  38.4  J
2JT8DN     P     A    5000 110.4 102.5  97.1  91.3  82.2  72.5  65.9  58.9  51.6  44.4  J
2JT8DN     P     D    6000 109.3 102.7  98.0  92.9  84.7  75.7  69.5  62.8  55.7  48.7  J
2JT8DN     P     D    8000 113.4 107.0 102.4  97.4  89.2  80.4  74.2  67.6  60.5  53.5  J
2JT8DN     P     D   10000 117.2 110.7 106.1 101.0  92.8  84.0  77.8  71.1  64.1  57.0  J
2JT8DN     P     D   12000 120.9 114.2 109.5 104.4  96.2  87.4  81.2  74.7  67.8  60.9  J
2JT8DN     P     D   14000 123.5 116.9 112.2 107.2  99.1  90.4  84.3  77.9  71.0  64.3  J
2JT8DN     P     D   16000 125.8 119.2 114.5 109.5 101.4  92.7  86.7  80.2  73.4  66.6  J
2JT8DN     S     A    3000  94.0  90.4  87.5  84.2  78.4  71.7  66.7  61.3  55.3  49.3  J
2JT8DN     S     A    5000  98.5  94.9  92.1  88.8  83.0  76.3  71.4  66.0  60.0  53.9  J
2JT8DN     S     D    6000  98.6  94.8  92.0  88.8  83.4  77.4  73.0  68.3  63.1  57.9  J
2JT8DN     S     D    8000 102.7  99.0  96.1  92.9  87.6  81.5  77.2  72.5  67.4  62.3  J
2JT8DN     S     D   10000 106.6 102.9 100.0  96.8  91.3  85.1  80.7  75.9  70.6  65.3  J
2JT8DN     S     D   12000 110.2 106.4 103.5 100.2  94.7  88.4  83.9  79.0  73.7  68.3  J
2JT8DN     S     D   14000 113.1 109.5 106.7 103.5  98.0  91.8  87.3  82.4  77.0  71.6  J
2JT8DN     S     D   16000 115.9 112.3 109.5 106.3 100.8  94.6  90.1  85.2  79.8  74.4  J
2JT8DQ     E     A    3000  98.6  94.4  91.1  87.4  81.4  74.4  69.1  63.0  55.5  46.8  J
2JT8DQ     E     A    6000 104.4 100.2  96.9  93.2  87.2  80.2  74.9  68.8  61.3  52.6  J
2JT8DQ     E     D    8000 108.7 104.5 101.3  97.7  91.8  85.1  80.0  74.3  67.3  59.1  J
2JT8DQ     E     D   10000 113.2 109.2 106.0 102.5  96.6  90.2  85.5  80.1  73.6  66.0  J
2JT8DQ     E     D   12000 117.8 113.8 110.7 107.3 101.7  95.4  91.0  86.0  80.0  73.0  J
2JT8DQ     E     D   14000 122.8 118.9 115.9 112.6 107.2 101.1  97.0  92.4  87.0  80.6  J
2JT8DQ     M     A    3000  94.9  88.2  83.6  78.6  70.8  62.3  56.1  49.2  41.3  32.8  J
2JT8DQ     M     A    6000  99.1  92.4  87.8  82.8  75.0  66.5  60.3  53.4  45.5  37.0  J
2JT8DQ     M     D    8000 104.1  97.4  92.7  87.8  80.0  71.6  65.5  58.6  50.9  42.6  J
2JT8DQ     M     D   10000 109.2 102.5  98.4  92.8  85.2  76.8  70.8  64.1  56.5  48.5  J
2JT8DQ     M     D   12000 114.6 107.9 103.3  98.2  90.5  82.3  76.4  69.7  62.4  54.6  J
2JT8DQ     M     D   14000 120.1 113.4 108.8 104.0  96.1  87.9  82.1  75.6  68.4  60.9  J
2JT8DQ     S     A    3000  94.6  90.8  87.9  84.8  79.8  73.4  69.0  63.6  57.2  50.2  J
2JT8DQ     S     A    6000  99.8  96.0  93.1  90.0  85.0  78.9  74.2  68.8  62.4  55.4  J
2JT8DQ     S     D    8000 104.3 100.6  97.7  94.7  89.7  83.7  79.1  73.8  67.6  60.8  J
2JT8DQ     S     D   10000 109.0 105.2 102.5  99.5  94.6  88.6  84.1  79.0  72.9  66.3  J
2JT8DQ     S     D   12000 113.8 110.1 107.4 104.5  99.6  93.8  89.3  84.2  78.4  72.1  J
2JT8DQ     S     D   14000 119.1 115.4 112.8 110.0 105.1  99.4  95.0  90.1  84.4  78.4  J
2JT8DW     E     A    3000 107.0 102.4  98.7  94.4  87.0  78.6  73.0  66.4  59.0  49.4  J
2JT8DW     E     A    6000 110.3 105.8 102.1  97.9  91.0  83.0  77.3  71.0  63.3  54.1  J
2JT8DW     E     D    8000 112.9 108.4 104.7 100.9  94.0  86.2  80.6  74.7  67.6  59.3  J
2JT8DW     E     D   10000 115.7 111.5 108.0 104.3  98.0  90.8  85.9  80.3  73.8  66.1  J
2JT8DW     E     D   12000 119.3 115.2 112.0 108.6 102.8  96.1  91.8  86.5  80.5  73.5  J
2JT8DW     E     D   14000 123.9 119.9 117.1 113.0 108.0 101.7  97.3  92.9  87.5  81.1  J
2JT8DW     M     A    3000 102.6  94.6  88.6  82.3  73.8  64.5  58.0  51.0  42.8  34.4  J
2JT8DW     M     A    6000 105.4  97.9  91.5  85.8  77.2  68.5  61.9  55.1  47.1  38.5  J
2JT8DW     M     D    8000 108.6 100.7  95.6  89.9  81.8  73.2  66.5  59.9  52.0  43.8  J
2JT8DW     M     D   10000 111.6 104.3  99.5  94.6  86.3  77.7  71.8  64.9  57.2  48.9  J
2JT8DW     M     D   12000 115.9 108.9 104.3  99.4  91.1  82.8  76.8  70.1  62.8  54.6  J
2JT8DW     M     D   14000 120.8 113.4 109.4 104.5  96.4  88.2  82.3  75.8  68.6  60.9  J
2JT8DW     S     A    3000 102.3  97.2  92.9  88.5  82.8  75.6  70.9  65.4  58.8  51.8  J
2JT8DW     S     A    6000 106.1 100.5  96.7  93.0  87.2  80.9  76.1  70.7  64.1  56.9  J
2JT8DW     S     D    8000 108.8 103.9 100.5  96.8  91.5  85.7  80.5  75.1  68.9  62.0  J
2JT8DW     S     D   10000 111.4 107.2 104.3 101.1  95.7  89.5  85.0  79.8  73.5  66.7  J
2JT8DW     S     D   12000 115.1 111.1 108.4 105.5 100.2  94.3  89.9  85.0  78.8  72.1  J
2JT8DW     S     D   14000 119.8 115.9 113.3 110.5 105.4  99.7  95.3  90.3  84.5  78.4  J
2JT8QW     E     A    3000  98.6  94.4  91.1  87.4  81.4  74.4  69.1  63.0  55.5  46.8  J
2JT8QW     E     A    6000 104.4 100.2  96.9  93.2  87.2  80.2  74.9  68.8  61.3  52.6  J
2JT8QW     E     D    8000 108.7 104.5 101.3  97.7  91.8  85.1  80.0  74.3  67.3  59.1  J
2JT8QW     E     D   10000 113.2 109.2 106.0 102.5  96.6  90.2  85.5  80.1  73.6  66.0  J
2JT8QW     E     D   12000 117.8 113.8 110.7 107.3 101.7  95.4  91.0  86.0  80.0  73.0  J
2JT8QW     E     D   14000 122.8 118.9 115.9 112.6 107.2 101.1  97.0  92.4  87.0  80.6  J
2JT8QW     M     A    3000  94.9  88.2  83.6  78.6  70.8  62.3  56.1  49.2  41.3  32.8  J
2JT8QW     M     A    6000  99.1  92.4  87.8  82.8  75.0  66.5  60.3  53.4  45.5  37.0  J
2JT8QW     M     D    8000 104.1  97.4  92.7  87.8  80.0  71.6  65.5  58.6  50.9  42.6  J
2JT8QW     M     D   10000 109.2 102.5  98.4  92.8  85.2  76.8  70.8  64.1  56.5  48.5  J
2JT8QW     M     D   12000 114.6 107.9 103.3  98.2  90.5  82.3  76.4  69.7  62.4  54.6  J
2JT8QW     M     D   14000 120.1 113.4 108.8 104.0  96.1  87.9  82.1  75.6  68.4  60.9  J
2JT8QW     S     A    3000  94.6  90.8  87.9  84.8  79.8  73.4  69.0  63.6  57.2  50.2  J
2JT8QW     S     A    6000  99.8  96.0  93.1  90.0  85.0  78.9  74.2  68.8  62.4  55.4  J
2JT8QW     S     D    8000 104.3 100.6  97.7  94.7  89.7  83.7  79.1  73.8  67.6  60.8  J
2JT8QW     S     D   10000 109.0 105.2 102.5  99.5  94.6  88.6  84.1  79.0  72.9  66.3  J
2JT8QW     S     D   12000 113.8 110.1 107.4 104.5  99.6  93.8  89.3  84.2  78.4  72.1  J
2JT8QW     S     D   14000 119.1 115.4 112.8 110.0 105.1  99.4  95.0  90.1  84.4  78.4  J
2R2800     E     A      30  99.6  95.2  92.1  88.8  83.2  76.4  71.0  65.0  58.6  50.2  P
2R2800     E     A     100 112.9 108.3 105.2 101.5  95.8  88.9  83.3  77.2  71.1  64.0  P
2R2800     E     D      30  99.6  95.2  92.1  88.8  83.2  76.4  71.0  65.0  58.6  50.2  P
